model,t_abs,x,u1
cheeger_tunneling,0.001,0.11500000000000021,0.2621125652500305
cheeger_tunneling,0.001,0.1200000000000001,0.2735086227905083
cheeger_tunneling,0.001,0.125,0.2849046623375951
cheeger_tunneling,0.001,0.1299999999999999,0.29630068314157615
cheeger_tunneling,0.001,0.13500000000000023,0.3076966844527382
cheeger_tunneling,0.001,0.14000000000000012,0.3190926655213693
cheeger_tunneling,0.001,0.14500000000000002,0.3304886255977586
cheeger_tunneling,0.001,0.1499999999999999,0.34188456393219685
cheeger_tunneling,0.001,0.15500000000000025,0.353280479774976
cheeger_tunneling,0.001,0.16000000000000014,0.36467637237638995
cheeger_tunneling,0.001,0.16500000000000004,0.37607224098673364
cheeger_tunneling,0.001,0.16999999999999993,0.38746808485630374
cheeger_tunneling,0.001,0.17500000000000027,0.39886390323539855
cheeger_tunneling,0.001,0.18000000000000016,0.410259695374318
cheeger_tunneling,0.001,0.18500000000000005,0.42165546052336383
cheeger_tunneling,0.001,0.18999999999999995,0.43305119793283975
cheeger_tunneling,0.001,0.19499999999999984,0.44444690685305094
cheeger_tunneling,0.001,0.20000000000000018,0.4558425865343045
cheeger_tunneling,0.001,0.20500000000000007,0.4672382362269096
cheeger_tunneling,0.001,0.20999999999999996,0.47863385518117735
cheeger_tunneling,0.001,0.21499999999999986,0.4900294426474208
cheeger_tunneling,0.001,0.2200000000000002,0.5014249978759553
cheeger_tunneling,0.001,0.2250000000000001,0.5128205201170978
cheeger_tunneling,0.001,0.22999999999999998,0.5242160086211682
cheeger_tunneling,0.001,0.23499999999999988,0.535611462638488
